time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
614.5,178.50,0.0016145567840757109,5.052134711221353E-5
614.5,179.50,0.0016034293849014768,5.0167404671702136E-5
614.5,180.50,0.002009294403022617,2.9705327936932337E-5
614.5,181.50,0.002378889647453774,3.636343749825563E-5
614.5,182.50,0.002284847295017463,3.709062266365627E-5
614.5,183.50,0.0024637800697084747,4.159003195306638E-5
614.5,184.50,0.0021421871461056717,3.700261677957387E-5
614.5,185.50,0.002440632739521172,4.35693898811473E-5
614.5,186.50,0.0028061654572385498,5.0935633816753875E-5
614.5,187.50,0.003164120055182969,6.072450876721613E-5
614.5,188.50,0.00337374376252596,6.745835690820586E-5
614.5,189.50,0.0037357555528046253,7.936726417366458E-5
614.5,190.50,0.003926372934212084,8.26842150912542E-5
614.5,191.50,0.004175512903030936,8.918108708339357E-5
614.5,192.50,0.004473238301880568,9.412532232549978E-5
614.5,193.50,0.00347323647243719,7.434940819085077E-5
614.5,194.50,0.005676476983530811,1.2782642285275308E-4
614.5,195.50,0.005507868238059737,1.3049884077513834E-4
614.5,196.50,0.00620369353815642,1.5252527472528398E-4
614.5,197.50,0.006289114589980079,1.5626489675228385E-4
614.5,198.50,0.006350818296455728,1.551163661946444E-4
614.5,199.50,0.0068874763743659775,1.686649073649223E-4
614.5,200.50,0.007473517834821741,1.817912589615064E-4
614.5,201.50,0.008311655914250732,2.036185992666346E-4
614.5,202.50,0.008247891531477494,1.9775812851186144E-4
614.5,203.50,0.009530436425408849,2.2367944526737032E-4
614.5,204.50,0.010547775376322704,2.3396081899259237E-4
614.5,205.50,0.010887595213684965,2.2532561892944544E-4
614.5,206.50,0.011254433000014108,2.164291362375845E-4
614.5,207.50,0.012988474395099824,2.318746254652865E-4
614.5,208.50,0.014908744064635857,2.421796053180511E-4
614.5,209.50,0.0215804474614313,3.127745855963108E-4
614.5,210.50,0.027938228178178898,3.6872578486333603E-4
614.5,211.50,0.0336275206218257,3.990763927836976E-4
614.5,212.50,0.032203971019823405,3.478143521496606E-4
614.5,213.50,0.029154425955173712,2.901176021545505E-4
614.5,214.50,0.04150198302213238,3.9743556209780463E-4
614.5,215.50,0.034013591033165605,3.1359838631716934E-4
614.5,216.50,0.03261273919102768,3.057378951035949E-4
614.5,217.50,0.0315578251670356,3.063506176551629E-4
614.5,218.50,0.044923295661346827,4.6398685410158546E-4
614.5,219.50,0.046882569385279294,5.308367363871515E-4
614.5,220.50,0.046267061889148565,5.60167150678055E-4
614.5,221.50,0.032796300494782375,4.348262986174029E-4
614.5,222.50,0.04831013920435568,6.736510384024425E-4
614.5,223.50,0.06168519453965707,9.058519377375746E-4
614.5,224.50,0.0568830764009551,9.024225442301053E-4
614.5,225.50,0.05009245426062778,8.284254445068602E-4
614.5,226.50,0.035252721210025026,5.968841664612184E-4
614.5,227.50,0.035651512581516116,6.064148612822685E-4
614.5,228.50,0.051186243628028885,8.383118475579254E-4
614.5,229.50,0.04346078479348767,7.13289748097986E-4
614.5,230.50,0.05300770824231172,8.617711505242771E-4
614.5,231.50,0.045733246015432355,7.465574522286533E-4
614.5,232.50,0.04940068375231859,7.924942911123581E-4
614.5,233.50,0.04153000095619684,6.958808958334022E-4
614.5,234.50,0.03364612321494439,5.844576187531007E-4
614.5,235.50,0.05409651005714145,9.600707469212842E-4
614.5,236.50,0.04158710613037627,7.670140333342017E-4
614.5,237.50,0.050632566416461466,9.262855490334476E-4
614.5,238.50,0.034610355057076145,6.803310387849356E-4
614.5,239.50,0.04273102097827125,8.59193060812469E-4
614.5,240.50,0.03918034574238279,8.116295691170336E-4
614.5,241.50,0.045696788612147016,9.596929900045623E-4
614.5,242.50,0.06871376794758101,0.0014216464700993363
614.5,243.50,0.06254877643988613,0.00124980878464131
614.5,244.50,0.05947707147644311,0.0011452025109668132
614.5,245.50,0.046937564934263355,8.650152408394672E-4
614.5,246.50,0.047044196245300623,8.403572528112673E-4
614.5,247.50,0.054477036260239614,9.570418473665216E-4
614.5,248.50,0.042020021290710356,7.328334714058032E-4
614.5,249.50,0.053866309858040716,9.932036765660185E-4
614.5,250.50,0.05681312555724579,0.001069138179530703
614.5,251.50,0.043950003523897926,8.418437598316873E-4
614.5,252.50,0.038937644110795054,7.602492988093265E-4
614.5,253.50,0.05003587654233288,9.79155388505069E-4
614.5,254.50,0.05574826895255465,0.0011025944766300973
614.5,255.50,0.07900515751656796,0.0015568459345154364
614.5,256.50,0.09502386022782351,0.0019346531574356877
614.5,257.50,0.118006904544232,0.0023698681483294935
614.5,258.50,0.12494941235804287,0.0025306536817823163
614.5,259.50,0.10496082173064974,0.0020817724079770982
614.5,260.50,0.08511414946878491,0.0016567093792605114
614.5,261.50,0.08297102426613429,0.001501244984808722
614.5,262.50,0.10492061920228757,0.0018868680567400724
614.5,263.50,0.15379814264534467,0.002800873505661982
614.5,264.50,0.2400037941844557,0.004287438605381898
614.5,265.50,0.24911094897205668,0.004520228673196961
614.5,266.50,0.2417576358621516,0.00444151070709528
614.5,267.50,0.24169670137287594,0.004461881174014412
614.5,268.50,0.24114839809514074,0.004469681460012892
614.5,269.50,0.21505952343679696,0.003982917647614712
614.5,270.50,0.27143307231787506,0.005013572562935904
614.5,271.50,0.22517083145724795,0.004088646758704291
614.5,272.50,0.1782387404549286,0.0032892133394555353
614.5,273.50,0.20371434265986052,0.0038738201715732786
614.5,274.50,0.12009089970012823,0.0024322643357317106
614.5,275.50,0.17222759536878685,0.00359010323774305
614.5,276.50,0.23846976511421453,0.005408538164909278
614.5,277.50,0.2373320388527653,0.005629589535258351
614.5,278.50,0.15676429404873982,0.003892272350120107
614.5,279.50,0.07433527914832067,0.001819931437377689
614.5,280.50,0.08605021383223942,0.0020058368140223226
614.5,281.50,0.20114161913413403,0.004713510232019339
614.5,282.50,0.28088458018209755,0.006517136099298372
614.5,283.50,0.31212267308592995,0.007423699331769846
614.5,284.50,0.23818654561014024,0.0059464824065203455
614.5,285.50,0.12058835987833395,0.0029990827397348395
614.5,286.50,0.31968857802142253,0.008175580165067782
614.5,287.50,0.34894545565226937,0.008735885888208434
614.5,288.50,0.28989142827749603,0.007012164807480364
614.5,289.50,0.43246039166285893,0.010208336033672596
614.5,290.50,0.5781816947595593,0.014063392702084758
614.5,291.50,0.5364498889457923,0.013397869579048417
614.5,292.50,0.4666522018154852,0.012111047077254609
614.5,293.50,0.5270908241320484,0.01360375877993755
614.5,294.50,0.47611525804238003,0.011875814536365659
614.5,295.50,0.5322449006017322,0.012679065033664215
614.5,296.50,0.4708002368439449,0.011525198368442246
614.5,297.50,0.5042482859214275,0.01280997645072819
614.5,298.50,0.3710141190533832,0.009937250891588902
614.5,299.50,0.5158168926012914,0.014573714202188219
614.5,300.50,0.3419951387418171,0.00985512273740767
614.5,301.50,0.46652399714660253,0.014184986258110432
614.5,302.50,0.45727236168040664,0.014428250181862898
614.5,303.50,0.6002577672223759,0.02015809268887793
614.5,304.50,0.567498158266441,0.019742920360421724
614.5,305.50,0.5944880822970944,0.023402086135257884
614.5,306.50,0.5444183866019334,0.022802003310854697
614.5,307.50,0.6281798743999698,0.027949519928285375
614.5,308.50,0.6348078630027469,0.030258134165494117
614.5,309.50,0.4825870684268067,0.02386636164599925
614.5,310.25,0.5638661818776464,NaN
614.5,310.48,0.6118557756000833,NaN
614.5,310.71,0.6557817853535987,NaN
614.5,310.95,0.6868975795776779,NaN
614.5,311.18,0.7036011537305875,NaN
614.5,311.42,0.7068135217480824,NaN
614.5,311.65,0.6972475867336321,NaN
614.5,311.89,0.6803440091742153,NaN
614.5,312.12,0.6630106705818376,NaN
614.5,312.36,0.6547730984817176,NaN
614.5,312.60,0.6519392482838573,NaN
614.5,312.84,0.6583092171523537,NaN
614.5,313.08,0.6693628079012771,NaN
614.5,313.32,0.6760551242101509,NaN
614.5,313.56,0.6776362088314087,NaN
614.5,313.80,0.6777208924472704,NaN
614.5,314.04,0.6773737443546701,NaN
614.5,314.28,0.6684455837796426,NaN
614.5,314.53,0.6595106544606925,NaN
614.5,314.77,0.6513278448386071,NaN
614.5,315.02,0.640813479136507,NaN
614.5,315.26,0.6282767159053755,NaN
614.5,315.51,0.6135290617812894,NaN
614.5,315.75,0.6029414778898424,NaN
614.5,316.00,0.6022810618732701,NaN
614.5,316.25,0.6152671860863509,NaN
614.5,316.50,0.642682247926154,NaN
614.5,316.75,0.6699934065231921,NaN
614.5,317.00,0.6965493557381509,NaN
614.5,317.25,0.7174030622404874,NaN
614.5,317.50,0.7247914276121565,NaN
614.5,317.75,0.7152174691072759,NaN
614.5,318.01,0.6957703832273208,NaN
614.5,318.26,0.6763027104387568,NaN
614.5,318.51,0.6646584247780616,NaN
614.5,318.77,0.6643233674618212,NaN
614.5,319.02,0.669591651568773,NaN
614.5,319.28,0.6847033952652177,NaN
614.5,319.54,0.7085645461160215,NaN
614.5,319.80,0.7339613235624267,NaN
614.5,320.06,0.7493218868038086,NaN
614.5,320.32,0.7521299418100015,NaN
614.5,320.58,0.7508190736261144,NaN
614.5,320.84,0.7461829693398052,NaN
614.5,321.10,0.7286986453907569,NaN
614.5,321.36,0.7121864926324171,NaN
614.5,321.62,0.6976839223009075,NaN
614.5,321.89,0.6914008911632468,NaN
614.5,322.15,0.6825329779916374,NaN
614.5,322.42,0.6717092540782804,NaN
614.5,322.69,0.6636521258385424,NaN
614.5,322.95,0.6593214869467061,NaN
614.5,323.22,0.6623409847779547,NaN
614.5,323.49,0.6716731929801572,NaN
614.5,323.76,0.6855140108676612,NaN
614.5,324.03,0.7066993133484976,NaN
614.5,324.30,0.7321765133075082,NaN
614.5,324.57,0.7615697187160615,NaN
614.5,324.85,0.7911545539138041,NaN
614.5,325.12,0.8210544498371279,NaN
614.5,325.39,0.8569805224743672,NaN
614.5,325.67,0.8930555190296664,NaN
614.5,325.94,0.9225542169736052,NaN
614.5,326.22,0.9434893945391483,NaN
614.5,326.50,0.9567909974897197,NaN
614.5,326.78,0.9640262082860873,NaN
614.5,327.06,0.9609121856567671,NaN
614.5,327.34,0.9500522182396631,NaN
614.5,327.62,0.9372316361575359,NaN
614.5,327.90,0.9317590360123823,NaN
614.5,328.18,0.9317362776258773,NaN
614.5,328.47,0.9399728702699224,NaN
614.5,328.75,0.9582149899529038,NaN
614.5,329.04,0.9848782385271225,NaN
614.5,329.32,1.0053626584088946,NaN
614.5,329.61,1.0235973689938414,NaN
614.5,329.90,1.0318351276612403,NaN
614.5,330.19,1.0272290559572397,NaN
614.5,330.48,1.0150750262453974,NaN
614.5,330.77,0.9971131961857835,NaN
614.5,331.06,0.9813004233934537,NaN
614.5,331.35,0.9681834415771113,NaN
614.5,331.64,0.9596749502991538,NaN
614.5,331.94,0.955811857861221,NaN
614.5,332.23,0.9511715173838061,NaN
614.5,332.53,0.9432990068579645,NaN
614.5,332.83,0.9370241192400921,NaN
614.5,333.12,0.9334178898554987,NaN
614.5,333.42,0.9319476936993142,NaN
